,Date,Signal,Entry Level,Exit Level,BOD Units,EOD Units
0,2015-01-28,0,,,0,0
1,2015-01-29,0,,,0,0
2,2015-01-30,0,,,0,0
3,2015-02-02,0,,,0,0
4,2015-02-03,0,,,0,0
5,2015-02-04,0,,,0,0
6,2015-02-05,0,,,0,0
7,2015-02-06,1,119.12,,0,1
8,2015-02-09,1,119.12,,1,1
9,2015-02-10,1,119.275,,1,2.0
10,2015-02-11,1,119.8675,,2.0,4.0
11,2015-02-12,1,119.8675,,4.0,4.0
12,2015-02-13,0,119.8675,,4.0,4.0
13,2015-02-16,0,119.8675,,4.0,4.0
14,2015-02-17,0,119.8675,,4.0,4.0
15,2015-02-18,0,119.8675,,4.0,4.0
16,2015-02-19,-0.5,119.8675,118.95,4.0,0
17,2015-02-20,0,,,0,0
18,2015-02-23,0,,,0,0
19,2015-02-24,0,,,0,0
20,2015-02-25,0,,,0,0
21,2015-02-26,0,,,0,0
22,2015-02-27,0,,,0,0
23,2015-03-02,0,,,0,0
24,2015-03-03,0,,,0,0
25,2015-03-04,0,,,0,0
26,2015-03-05,0,,,0,0
27,2015-03-06,1,120.83,,0,1
28,2015-03-09,1,120.99000000000001,,1,2.0
29,2015-03-10,1,121.06,,2.0,4.0
30,2015-03-11,1,121.06,,4.0,4.0
31,2015-03-12,1,121.06,,4.0,4.0
32,2015-03-13,1,121.06,,4.0,4.0
33,2015-03-16,1,121.06,,4.0,4.0
34,2015-03-17,1,121.06,,4.0,4.0
35,2015-03-18,-0.5,121.06,120.11,4.0,0
36,2015-03-19,0,,,0,0
37,2015-03-20,0,,,0,0
38,2015-03-23,0,,,0,0
39,2015-03-24,0,,,0,0
40,2015-03-25,0,,,0,0
41,2015-03-26,-1,119.19,,0,-1
42,2015-03-27,-1,119.16,,-1,-2.0
43,2015-03-30,-1,119.16,,-2.0,-2.0
44,2015-03-31,0,119.16,,-2.0,-2.0
45,2015-04-01,0,119.16,,-2.0,-2.0
46,2015-04-02,0,119.16,,-2.0,-2.0
47,2015-04-03,-1,119.09666666666665,,-2.0,-3.0
48,2015-04-06,-1,119.2075,,-3.0,-4.0
49,2015-04-07,0.5,119.2075,120.28,-4.0,0
50,2015-04-08,0,,,0,0
51,2015-04-09,0,,,0,0
52,2015-04-10,0,,,0,0
53,2015-04-13,0,,,0,0
54,2015-04-14,0,,,0,0
55,2015-04-15,-1,118.97,,0,-1
56,2015-04-16,-1,118.97,,-1,-1
57,2015-04-17,-1,118.935,,-1,-2.0
58,2015-04-20,-1,119.01666666666667,,-2.0,-3.0
59,2015-04-21,0,119.01666666666667,,-3.0,-3.0
60,2015-04-22,0,119.01666666666667,,-3.0,-3.0
61,2015-04-23,0,119.01666666666667,,-3.0,-3.0
62,2015-04-24,-1,119.01666666666667,,-3.0,-3.0
63,2015-04-27,-1,119.02250000000001,,-3.0,-4.0
64,2015-04-28,-1,119.02250000000001,,-4.0,-4.0
65,2015-04-29,-1,119.02250000000001,,-4.0,-4.0
66,2015-04-30,-1,119.02250000000001,,-4.0,-4.0
67,2015-05-01,0.5,119.02250000000001,120.15,-4.0,0
68,2015-05-04,0,,,0,0
69,2015-05-05,0,,,0,0
70,2015-05-06,0,,,0,0
71,2015-05-07,0,,,0,0
72,2015-05-08,1,120.22,,0,1
73,2015-05-11,0,120.22,,1,1
74,2015-05-12,1,120.22,,1,1
75,2015-05-13,-0.5,120.22,119.15,1,0
76,2015-05-14,0,,,0,0
77,2015-05-15,0,,,0,0
78,2015-05-18,0,,,0,0
79,2015-05-19,1,120.69,,0,1
80,2015-05-20,1,121.13,,1,3.0
81,2015-05-21,1,121.1075,,3.0,4.0
82,2015-05-22,1,121.1075,,4.0,4.0
83,2015-05-25,1,121.1075,,4.0,4.0
84,2015-05-26,1,121.1075,,4.0,4.0
85,2015-05-27,1,121.1075,,4.0,4.0
86,2015-05-28,1,121.1075,,4.0,4.0
87,2015-05-29,1,121.1075,,4.0,4.0
88,2015-06-01,1,121.1075,,4.0,4.0
89,2015-06-02,1,121.1075,,4.0,4.0
90,2015-06-03,0,121.1075,,4.0,4.0
91,2015-06-04,0,121.1075,,4.0,4.0
92,2015-06-05,1,121.1075,,4.0,4.0
93,2015-06-08,1,121.1075,,4.0,4.0
94,2015-06-09,0,121.1075,,4.0,4.0
95,2015-06-10,-0.5,121.1075,122.68,4.0,0
96,2015-06-11,0,,,0,0
97,2015-06-12,0,,,0,0
98,2015-06-15,0,,,0,0
99,2015-06-16,0,,,0,0
100,2015-06-17,0,,,0,0
101,2015-06-18,0,,,0,0
102,2015-06-19,0,,,0,0
103,2015-06-22,0,,,0,0
104,2015-06-23,0,,,0,0
105,2015-06-24,0,,,0,0
106,2015-06-25,0,,,0,0
107,2015-06-26,0,,,0,0
108,2015-06-29,-1,122.54,,0,-1
109,2015-06-30,-1,122.52000000000001,,-1,-2.0
110,2015-07-01,-1,122.52000000000001,,-2.0,-2.0
111,2015-07-02,0,122.52000000000001,,-2.0,-2.0
112,2015-07-03,0,122.52000000000001,,-2.0,-2.0
113,2015-07-06,-1,122.545,,-2.0,-4.0
114,2015-07-07,-1,122.545,,-4.0,-4.0
115,2015-07-08,-1,122.545,,-4.0,-4.0
116,2015-07-09,-1,122.545,,-4.0,-4.0
117,2015-07-10,0,122.545,,-4.0,-4.0
118,2015-07-13,0.5,122.545,123.43,-4.0,0
119,2015-07-14,0,,,0,0
120,2015-07-15,1,123.94,,0,1
121,2015-07-16,1,123.94,,1,1
122,2015-07-17,1,124.015,,1,2.0
123,2015-07-20,1,124.10000000000001,,2.0,3.0
124,2015-07-21,1,124.0475,,3.0,4.0
125,2015-07-22,0,124.0475,,4.0,4.0
126,2015-07-23,0,124.0475,,4.0,4.0
127,2015-07-24,0,124.0475,,4.0,4.0
128,2015-07-27,-0.5,124.0475,123.25,4.0,0
129,2015-07-28,0,,,0,0
130,2015-07-29,0,,,0,0
131,2015-07-30,1,124.27,,0,1
132,2015-07-31,1,124.27,,1,1
133,2015-08-03,0,124.27,,1,1
134,2015-08-04,1,124.27,,1,1
135,2015-08-05,1,124.67,,1,3.0
136,2015-08-06,1,124.6875,,3.0,4.0
137,2015-08-07,1,124.6875,,4.0,4.0
138,2015-08-10,0,124.6875,,4.0,4.0
139,2015-08-11,1,124.6875,,4.0,4.0
140,2015-08-12,1,124.6875,,4.0,4.0
141,2015-08-13,0,124.6875,,4.0,4.0
142,2015-08-14,0,124.6875,,4.0,4.0
143,2015-08-17,0,124.6875,,4.0,4.0
144,2015-08-18,-0.5,124.6875,124.41,4.0,0
145,2015-08-19,0,,,0,0
146,2015-08-20,0,,,0,0
147,2015-08-21,-1,122.04,,0,-1
148,2015-08-24,-1,119.31750000000001,,-1,-4
149,2015-08-25,-1,119.31750000000001,,-4,-4
150,2015-08-26,0,119.31750000000001,,-4,-4
151,2015-08-27,0,119.31750000000001,,-4,-4
152,2015-08-28,0,119.31750000000001,,-4,-4
153,2015-08-31,0,119.31750000000001,,-4,-4
154,2015-09-01,0,119.31750000000001,,-4,-4
155,2015-09-02,0,119.31750000000001,,-4,-4
156,2015-09-03,0,119.31750000000001,,-4,-4
157,2015-09-04,0,119.31750000000001,,-4,-4
158,2015-09-07,0,119.31750000000001,,-4,-4
159,2015-09-08,0,119.31750000000001,,-4,-4
160,2015-09-09,0,119.31750000000001,,-4,-4
161,2015-09-10,0,119.31750000000001,,-4,-4
162,2015-09-11,0,119.31750000000001,,-4,-4
163,2015-09-14,0.5,119.31750000000001,120.23,-4,0
164,2015-09-15,0,,,0,0
165,2015-09-16,0,,,0,0
166,2015-09-17,0,,,0,0
167,2015-09-18,0,,,0,0
168,2015-09-21,0,,,0,0
169,2015-09-22,0,,,0,0
170,2015-09-23,0,,,0,0
171,2015-09-24,0,,,0,0
172,2015-09-25,0,,,0,0
173,2015-09-28,0,,,0,0
174,2015-09-29,0,,,0,0
175,2015-09-30,0,,,0,0
176,2015-10-01,0,,,0,0
177,2015-10-02,-1,118.99,,0,-1
178,2015-10-05,0,118.99,,-1,-1
179,2015-10-06,0,118.99,,-1,-1
180,2015-10-07,0,118.99,,-1,-1
181,2015-10-08,-1,118.99,,-1,-1
182,2015-10-09,0,118.99,,-1,-1
183,2015-10-12,0,118.99,,-1,-1
184,2015-10-13,-1,118.99,,-1,-1
185,2015-10-14,-1,118.91,,-1,-2.0
186,2015-10-15,-1,118.905,,-2.0,-4.0
187,2015-10-16,0,118.905,,-4.0,-4.0
188,2015-10-19,0,118.905,,-4.0,-4.0
189,2015-10-20,0,118.905,,-4.0,-4.0
190,2015-10-21,0,118.905,,-4.0,-4.0
191,2015-10-22,1,120.69,120.69,-4.0,1
192,2015-10-23,1,121.21,,1,3.0
193,2015-10-26,1,121.1825,,3.0,4.0
194,2015-10-27,0,121.1825,,4.0,4.0
195,2015-10-28,0,121.1825,,4.0,4.0
196,2015-10-29,0,121.1825,,4.0,4.0
197,2015-10-30,1,121.1825,,4.0,4.0
198,2015-11-02,0,121.1825,,4.0,4.0
199,2015-11-03,0,121.1825,,4.0,4.0
200,2015-11-04,1,121.1825,,4.0,4.0
201,2015-11-05,1,121.1825,,4.0,4.0
202,2015-11-06,1,121.1825,,4.0,4.0
203,2015-11-09,1,121.1825,,4.0,4.0
204,2015-11-10,1,121.1825,,4.0,4.0
205,2015-11-11,1,121.1825,,4.0,4.0
206,2015-11-12,0,121.1825,,4.0,4.0
207,2015-11-13,0,121.1825,,4.0,4.0
208,2015-11-16,1,121.1825,,4.0,4.0
209,2015-11-17,1,121.1825,,4.0,4.0
210,2015-11-18,1,121.1825,,4.0,4.0
211,2015-11-19,0,121.1825,,4.0,4.0
212,2015-11-20,0,121.1825,,4.0,4.0
213,2015-11-23,0,121.1825,,4.0,4.0
214,2015-11-24,-0.5,121.1825,122.53,4.0,0
215,2015-11-25,0,,,0,0
216,2015-11-26,0,,,0,0
217,2015-11-27,0,,,0,0
218,2015-11-30,0,,,0,0
219,2015-12-01,0,,,0,0
220,2015-12-02,1,123.64,,0,1
221,2015-12-03,-0.5,123.64,122.61,1,0
222,2015-12-04,-1,122.53,,0,-1
223,2015-12-07,0.5,122.53,123.37,-1,0
224,2015-12-08,0,,,0,0
225,2015-12-09,-1,121.44,,0,-1
226,2015-12-10,-1,121.44,,-1,-1
227,2015-12-11,-1,121.15333333333335,,-1,-3.0
228,2015-12-14,-1,121.1225,,-3.0,-4.0
229,2015-12-15,-1,121.1225,,-4.0,-4.0
230,2015-12-16,0,121.1225,,-4.0,-4.0
231,2015-12-17,0,121.1225,,-4.0,-4.0
232,2015-12-18,1,123.37,121.16,-4.0,1
233,2015-12-21,-1,121.01,121.19,1,-1
